2026-09-06 22:28:26.673  9525-9579  TalkifyTTS              com...b.lonepheasantwarrior.talkify  D  onGetDefaultVoiceNameFor: defaultVoiceName: temp_leijun
2026-09-06 22:28:26.673  9525-9579  TextToSpeech            com...b.lonepheasantwarrior.talkify  I  Setting up the connection to TTS engine...
2026-09-06 22:28:27.077  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:28:27.077  9525-9525  ImeTracker              com...b.lonepheasantwarrior.talkify  I  com.github.lonepheasantwarrior.talkify:c97b4e5: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2026-09-06 22:37:27.198  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): null
2026-09-06 22:37:27.247  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:37:27.248  9525-9525  ImeTracker              com...b.lonepheasantwarrior.talkify  I  com.github.lonepheasantwarrior.talkify:95b34bf4: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2026-09-06 22:37:27.728  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): android.app.Dialog$$ExternalSyntheticLambda2@49ab0e0
2026-09-06 22:37:27.729  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): androidx.navigationevent.OnBackInvokedInput$createOnBackAnimationCallback$1@501bf99
2026-09-06 22:37:27.842  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:37:27.842  9525-9525  ImeTracker              com...b.lonepheasantwarrior.talkify  I  com.github.lonepheasantwarrior.talkify:c408d7b5: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2026-09-06 22:37:28.708  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): androidx.compose.ui.window.Api33Impl$$ExternalSyntheticLambda0@2c88c01
2026-09-06 22:37:31.540  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): null
2026-09-06 22:37:31.543  9525-9546  HWUI                    com...b.lonepheasantwarrior.talkify  D  endAllActiveAnimators on 0xb400006f13e53de0 (UnprojectedRipple) with handle 0xb400006e83e2d9d0
2026-09-06 22:37:31.580  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:37:31.580  9525-9525  ImeTracker              com...b.lonepheasantwarrior.talkify  I  com.github.lonepheasantwarrior.talkify:9332e4e3: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2026-09-06 22:37:34.778  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): android.app.Dialog$$ExternalSyntheticLambda2@8b07e35
2026-09-06 22:37:34.778  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): androidx.navigationevent.OnBackInvokedInput$createOnBackAnimationCallback$1@b9812ca
2026-09-06 22:37:34.864  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:37:34.864  9525-9525  ImeTracker              com...b.lonepheasantwarrior.talkify  I  com.github.lonepheasantwarrior.talkify:f3dc1f21: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2026-09-06 22:37:36.055  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): null
2026-09-06 22:37:36.063  9525-9546  HWUI                    com...b.lonepheasantwarrior.talkify  D  endAllActiveAnimators on 0xb400006f13e5ff00 (UnprojectedRipple) with handle 0xb400006e83e322f0
2026-09-06 22:37:36.068  9525-9525  WindowOnBackDispatcher  com...b.lonepheasantwarrior.talkify  D  setTopOnBackInvokedCallback (unwrapped): null
2026-09-06 22:37:36.123  9525-9562  LocalModelDownload      com...b.lonepheasantwarrior.talkify  I  Starting download: zipvoice_distill, 1 files, ~~200 MB
2026-09-06 22:37:36.124  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:37:36.124  9525-9525  ImeTracker              com...b.lonepheasantwarrior.talkify  I  com.github.lonepheasantwarrior.talkify:ba57e3bd: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2026-09-06 22:37:36.129  9525-9562  LocalModelDownload      com...b.lonepheasantwarrior.talkify  D  Downloading file 1/1: vocos_24khz.onnx
2026-09-06 22:37:40.448  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 9.051146, output would be 6.3444157
2026-09-06 22:37:41.675  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 15.556865, output would be 5.5168376
2026-09-06 22:37:42.750  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 24.113483, output would be 6.6829567
2026-09-06 22:37:45.123  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 10.081796, output would be 5.662548
2026-09-06 22:37:46.127  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 22.170128, output would be 6.568607
2026-09-06 22:37:47.136  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 42.066536, output would be 5.400389
2026-09-06 22:37:48.408  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 10.826096, output would be 6.2190723
2026-09-06 22:37:48.542  1879-3895  NotificationService     system_server                        E  Package enqueue rate is 5.0014405. Shedding 0|com.github.lonepheasantwarrior.talkify|2001|null|10209. package=com.github.lonepheasantwarrior.talkify
2026-09-06 22:37:49.442  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 35.634506, output would be 6.380641
2026-09-06 22:37:50.516  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 22.533436, output would be 6.355832
2026-09-06 22:37:51.560  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 38.072086, output would be 6.325732
2026-09-06 22:37:52.580  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 25.597511, output would be 6.839174
2026-09-06 22:37:53.625  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 19.27997, output would be 6.8799133
2026-09-06 22:37:55.840  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 10.954172, output would be 6.4665704
2026-09-06 22:37:56.858  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 33.85673, output would be 6.5787325
2026-09-06 22:37:57.916  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 21.039654, output would be 5.8408055
2026-09-06 22:37:59.170  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 9.86156, output would be 5.478129
2026-09-06 22:38:00.207  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 21.929914, output would be 5.592629
2026-09-06 22:38:01.261  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 32.070522, output would be 5.5831966
2026-09-06 22:38:02.280  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 19.359432, output would be 6.510524
2026-09-06 22:38:03.301  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 20.7549, output would be 5.173618
2026-09-06 22:38:04.322  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 44.65732, output would be 5.5141683
2026-09-06 22:38:05.331  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 51.148136, output would be 5.953607
